LOCATION,Country,Indicator,Unit,Value
KOR,Korea,Dwellings without basic facilities,Percentage,4.2
LUX,Luxembourg,Dwellings without basic facilities,Percentage,0.7
MEX,Mexico,Dwellings without basic facilities,Percentage,4.2
NLD,Netherlands,Dwellings without basic facilities,Percentage,0
NZL,New Zealand,Dwellings without basic facilities,Percentage,0.2
NOR,Norway,Dwellings without basic facilities,Percentage,0.3
POL,Poland,Dwellings without basic facilities,Percentage,3.5
PRT,Portugal,Dwellings without basic facilities,Percentage,0.9
SVK,Slovak Republic,Dwellings without basic facilities,Percentage,1.1
ESP,Spain,Dwellings without basic facilities,Percentage,0
SWE,Sweden,Dwellings without basic facilities,Percentage,0
CHE,Switzerland,Dwellings without basic facilities,Percentage,0.1
TUR,Turkey,Dwellings without basic facilities,Percentage,12.7
GBR,United Kingdom,Dwellings without basic facilities,Percentage,0.3
USA,United States,Dwellings without basic facilities,Percentage,0.1
BRA,Brazil,Dwellings without basic facilities,Percentage,6.7
CHL,Chile,Dwellings without basic facilities,Percentage,9.4
EST,Estonia,Dwellings without basic facilities,Percentage,8.6
ISR,Israel,Dwellings without basic facilities,Percentage,3.8
RUS,Russia,Dwellings without basic facilities,Percentage,15.1
SVN,Slovenia,Dwellings without basic facilities,Percentage,0.4
AUS,Australia,Dwellings without basic facilities,Percentage,1.1
AUT,Austria,Dwellings without basic facilities,Percentage,1
BEL,Belgium,Dwellings without basic facilities,Percentage,1.9
CAN,Canada,Dwellings without basic facilities,Percentage,0.2
CZE,Czech Republic,Dwellings without basic facilities,Percentage,0.9
DNK,Denmark,Dwellings without basic facilities,Percentage,0.4
FIN,Finland,Dwellings without basic facilities,Percentage,0.6
FRA,France,Dwellings without basic facilities,Percentage,0.5
DEU,Germany,Dwellings without basic facilities,Percentage,0.9
GRC,Greece,Dwellings without basic facilities,Percentage,0.5
HUN,Hungary,Dwellings without basic facilities,Percentage,4.8
ISL,Iceland,Dwellings without basic facilities,Percentage,0.4
IRL,Ireland,Dwellings without basic facilities,Percentage,0.2
ITA,Italy,Dwellings without basic facilities,Percentage,0.5
JPN,Japan,Dwellings without basic facilities,Percentage,6.4
KOR,Korea,Dwellings without basic facilities,Percentage,4.2
LUX,Luxembourg,Dwellings without basic facilities,Percentage,0.7
MEX,Mexico,Dwellings without basic facilities,Percentage,4.2
NLD,Netherlands,Dwellings without basic facilities,Percentage,0
NZL,New Zealand,Dwellings without basic facilities,Percentage,0.2
NOR,Norway,Dwellings without basic facilities,Percentage,0.3
POL,Poland,Dwellings without basic facilities,Percentage,3.5
PRT,Portugal,Dwellings without basic facilities,Percentage,0.9
SVK,Slovak Republic,Dwellings without basic facilities,Percentage,1.1
ESP,Spain,Dwellings without basic facilities,Percentage,0
SWE,Sweden,Dwellings without basic facilities,Percentage,0
CHE,Switzerland,Dwellings without basic facilities,Percentage,0.1
TUR,Turkey,Dwellings without basic facilities,Percentage,12.7
GBR,United Kingdom,Dwellings without basic facilities,Percentage,0.3
USA,United States,Dwellings without basic facilities,Percentage,0.1
BRA,Brazil,Dwellings without basic facilities,Percentage,6.7
CHL,Chile,Dwellings without basic facilities,Percentage,9.4
EST,Estonia,Dwellings without basic facilities,Percentage,8.6
ISR,Israel,Dwellings without basic facilities,Percentage,3.8
RUS,Russia,Dwellings without basic facilities,Percentage,15.1
SVN,Slovenia,Dwellings without basic facilities,Percentage,0.4
AUS,Australia,Housing expenditure,Percentage,20
AUT,Austria,Housing expenditure,Percentage,21
BEL,Belgium,Housing expenditure,Percentage,20
CAN,Canada,Housing expenditure,Percentage,22
CZE,Czech Republic,Housing expenditure,Percentage,25
DNK,Denmark,Housing expenditure,Percentage,24
FIN,Finland,Housing expenditure,Percentage,22
FRA,France,Housing expenditure,Percentage,21
DEU,Germany,Housing expenditure,Percentage,21
GRC,Greece,Housing expenditure,Percentage,27
HUN,Hungary,Housing expenditure,Percentage,21
ISL,Iceland,Housing expenditure,Percentage,21
IRL,Ireland,Housing expenditure,Percentage,20
ITA,Italy,Housing expenditure,Percentage,23
JPN,Japan,Housing expenditure,Percentage,22
KOR,Korea,Housing expenditure,Percentage,16
LUX,Luxembourg,Housing expenditure,Percentage,23
MEX,Mexico,Housing expenditure,Percentage,21
NLD,Netherlands,Housing expenditure,Percentage,21
NZL,New Zealand,Housing expenditure,Percentage,25
NOR,Norway,Housing expenditure,Percentage,17
POL,Poland,Housing expenditure,Percentage,23
PRT,Portugal,Housing expenditure,Percentage,18
SVK,Slovak Republic,Housing expenditure,Percentage,25
ESP,Spain,Housing expenditure,Percentage,20
SWE,Sweden,Housing expenditure,Percentage,21
CHE,Switzerland,Housing expenditure,Percentage,23
TUR,Turkey,Housing expenditure,Percentage,21
GBR,United Kingdom,Housing expenditure,Percentage,24
USA,United States,Housing expenditure,Percentage,19
BRA,Brazil,Housing expenditure,Percentage,21
CHL,Chile,Housing expenditure,Percentage,19
EST,Estonia,Housing expenditure,Percentage,20
ISR,Israel,Housing expenditure,Percentage,21
RUS,Russia,Housing expenditure,Percentage,11
SVN,Slovenia,Housing expenditure,Percentage,20
AUS,Australia,Housing expenditure,Percentage,20
AUT,Austria,Housing expenditure,Percentage,21
BEL,Belgium,Housing expenditure,Percentage,20
CAN,Canada,Housing expenditure,Percentage,22
CZE,Czech Republic,Housing expenditure,Percentage,25
DNK,Denmark,Housing expenditure,Percentage,24
FIN,Finland,Housing expenditure,Percentage,22
FRA,France,Housing expenditure,Percentage,21
DEU,Germany,Housing expenditure,Percentage,21
GRC,Greece,Housing expenditure,Percentage,27
HUN,Hungary,Housing expenditure,Percentage,21
ISL,Iceland,Housing expenditure,Percentage,21
IRL,Ireland,Housing expenditure,Percentage,20
ITA,Italy,Housing expenditure,Percentage,23
JPN,Japan,Housing expenditure,Percentage,22
KOR,Korea,Housing expenditure,Percentage,16
LUX,Luxembourg,Housing expenditure,Percentage,23
MEX,Mexico,Housing expenditure,Percentage,21
NLD,Netherlands,Housing expenditure,Percentage,21
NZL,New Zealand,Housing expenditure,Percentage,25
NOR,Norway,Housing expenditure,Percentage,17
POL,Poland,Housing expenditure,Percentage,23
PRT,Portugal,Housing expenditure,Percentage,18
SVK,Slovak Republic,Housing expenditure,Percentage,25
ESP,Spain,Housing expenditure,Percentage,20
SWE,Sweden,Housing expenditure,Percentage,21
CHE,Switzerland,Housing expenditure,Percentage,23
TUR,Turkey,Housing expenditure,Percentage,21
GBR,United Kingdom,Housing expenditure,Percentage,24
USA,United States,Housing expenditure,Percentage,19
BRA,Brazil,Housing expenditure,Percentage,21
CHL,Chile,Housing expenditure,Percentage,19
EST,Estonia,Housing expenditure,Percentage,20
ISR,Israel,Housing expenditure,Percentage,21
RUS,Russia,Housing expenditure,Percentage,11
SVN,Slovenia,Housing expenditure,Percentage,20
AUS,Australia,Housing expenditure,Percentage,20
AUT,Austria,Housing expenditure,Percentage,21
BEL,Belgium,Housing expenditure,Percentage,20
CAN,Canada,Housing expenditure,Percentage,22
CZE,Czech Republic,Housing expenditure,Percentage,25
DNK,Denmark,Housing expenditure,Percentage,24
FIN,Finland,Housing expenditure,Percentage,22
FRA,France,Housing expenditure,Percentage,21
DEU,Germany,Housing expenditure,Percentage,21
GRC,Greece,Housing expenditure,Percentage,27
HUN,Hungary,Housing expenditure,Percentage,21
ISL,Iceland,Housing expenditure,Percentage,21
IRL,Ireland,Housing expenditure,Percentage,20
ITA,Italy,Housing expenditure,Percentage,23
JPN,Japan,Housing expenditure,Percentage,22
KOR,Korea,Housing expenditure,Percentage,16
LUX,Luxembourg,Housing expenditure,Percentage,23
MEX,Mexico,Housing expenditure,Percentage,21
NLD,Netherlands,Housing expenditure,Percentage,21
NZL,New Zealand,Housing expenditure,Percentage,25
NOR,Norway,Housing expenditure,Percentage,17
POL,Poland,Housing expenditure,Percentage,23
PRT,Portugal,Housing expenditure,Percentage,18
SVK,Slovak Republic,Housing expenditure,Percentage,25
ESP,Spain,Housing expenditure,Percentage,20
SWE,Sweden,Housing expenditure,Percentage,21
CHE,Switzerland,Housing expenditure,Percentage,23
TUR,Turkey,Housing expenditure,Percentage,21
GBR,United Kingdom,Housing expenditure,Percentage,24
USA,United States,Housing expenditure,Percentage,19
BRA,Brazil,Housing expenditure,Percentage,21
CHL,Chile,Housing expenditure,Percentage,19
EST,Estonia,Housing expenditure,Percentage,20
ISR,Israel,Housing expenditure,Percentage,21
RUS,Russia,Housing expenditure,Percentage,11
SVN,Slovenia,Housing expenditure,Percentage,20
AUS,Australia,Rooms per person,Ratio,2.3
AUT,Austria,Rooms per person,Ratio,1.6
BEL,Belgium,Rooms per person,Ratio,2.3
CAN,Canada,Rooms per person,Ratio,2.5
CZE,Czech Republic,Rooms per person,Ratio,1.4
DNK,Denmark,Rooms per person,Ratio,2
FIN,Finland,Rooms per person,Ratio,1.9
FRA,France,Rooms per person,Ratio,1.8
DEU,Germany,Rooms per person,Ratio,1.8
GRC,Greece,Rooms per person,Ratio,1.2
HUN,Hungary,Rooms per person,Ratio,1
ISL,Iceland,Rooms per person,Ratio,1.6
IRL,Ireland,Rooms per person,Ratio,2.1
ITA,Italy,Rooms per person,Ratio,1.4
JPN,Japan,Rooms per person,Ratio,1.8
KOR,Korea,Rooms per person,Ratio,1.4
LUX,Luxembourg,Rooms per person,Ratio,2
MEX,Mexico,Rooms per person,Ratio,1
NLD,Netherlands,Rooms per person,Ratio,2
NZL,New Zealand,Rooms per person,Ratio,2.3
NOR,Norway,Rooms per person,Ratio,2
POL,Poland,Rooms per person,Ratio,1
PRT,Portugal,Rooms per person,Ratio,1.6
SVK,Slovak Republic,Rooms per person,Ratio,1.2
ESP,Spain,Rooms per person,Ratio,1.9
SWE,Sweden,Rooms per person,Ratio,1.7
CHE,Switzerland,Rooms per person,Ratio,1.9
TUR,Turkey,Rooms per person,Ratio,1.1
GBR,United Kingdom,Rooms per person,Ratio,1.9
USA,United States,Rooms per person,Ratio,2.3
BRA,Brazil,Rooms per person,Ratio,1.4
CHL,Chile,Rooms per person,Ratio,1.3
EST,Estonia,Rooms per person,Ratio,1.6
ISR,Israel,Rooms per person,Ratio,1.1
RUS,Russia,Rooms per person,Ratio,0.9
SVN,Slovenia,Rooms per person,Ratio,1.4
AUS,Australia,Rooms per person,Ratio,2.3
AUT,Austria,Rooms per person,Ratio,1.6
BEL,Belgium,Rooms per person,Ratio,2.3
CAN,Canada,Rooms per person,Ratio,2.5
CZE,Czech Republic,Rooms per person,Ratio,1.4
DNK,Denmark,Rooms per person,Ratio,2
FIN,Finland,Rooms per person,Ratio,1.9
FRA,France,Rooms per person,Ratio,1.8
DEU,Germany,Rooms per person,Ratio,1.8
GRC,Greece,Rooms per person,Ratio,1.2
HUN,Hungary,Rooms per person,Ratio,1
ISL,Iceland,Rooms per person,Ratio,1.6
IRL,Ireland,Rooms per person,Ratio,2.1
ITA,Italy,Rooms per person,Ratio,1.4
JPN,Japan,Rooms per person,Ratio,1.8
KOR,Korea,Rooms per person,Ratio,1.4
LUX,Luxembourg,Rooms per person,Ratio,2
MEX,Mexico,Rooms per person,Ratio,1
NLD,Netherlands,Rooms per person,Ratio,2
NZL,New Zealand,Rooms per person,Ratio,2.3
NOR,Norway,Rooms per person,Ratio,2
POL,Poland,Rooms per person,Ratio,1
PRT,Portugal,Rooms per person,Ratio,1.6
SVK,Slovak Republic,Rooms per person,Ratio,1.2
ESP,Spain,Rooms per person,Ratio,1.9
SWE,Sweden,Rooms per person,Ratio,1.7
CHE,Switzerland,Rooms per person,Ratio,1.9
TUR,Turkey,Rooms per person,Ratio,1.1
GBR,United Kingdom,Rooms per person,Ratio,1.9
USA,United States,Rooms per person,Ratio,2.3
BRA,Brazil,Rooms per person,Ratio,1.4
CHL,Chile,Rooms per person,Ratio,1.3
EST,Estonia,Rooms per person,Ratio,1.6
ISR,Israel,Rooms per person,Ratio,1.1
RUS,Russia,Rooms per person,Ratio,0.9
SVN,Slovenia,Rooms per person,Ratio,1.4
AUS,Australia,Rooms per person,Ratio,2.3
AUT,Austria,Rooms per person,Ratio,1.6
BEL,Belgium,Rooms per person,Ratio,2.3
CAN,Canada,Rooms per person,Ratio,2.5
CZE,Czech Republic,Rooms per person,Ratio,1.4
DNK,Denmark,Rooms per person,Ratio,2
FIN,Finland,Rooms per person,Ratio,1.9
FRA,France,Rooms per person,Ratio,1.8
DEU,Germany,Rooms per person,Ratio,1.8
GRC,Greece,Rooms per person,Ratio,1.2
HUN,Hungary,Rooms per person,Ratio,1
ISL,Iceland,Rooms per person,Ratio,1.6
IRL,Ireland,Rooms per person,Ratio,2.1
ITA,Italy,Rooms per person,Ratio,1.4
JPN,Japan,Rooms per person,Ratio,1.8
KOR,Korea,Rooms per person,Ratio,1.4
LUX,Luxembourg,Rooms per person,Ratio,2
MEX,Mexico,Rooms per person,Ratio,1
NLD,Netherlands,Rooms per person,Ratio,2
NZL,New Zealand,Rooms per person,Ratio,2.3
NOR,Norway,Rooms per person,Ratio,2
POL,Poland,Rooms per person,Ratio,1
PRT,Portugal,Rooms per person,Ratio,1.6
SVK,Slovak Republic,Rooms per person,Ratio,1.2
ESP,Spain,Rooms per person,Ratio,1.9
SWE,Sweden,Rooms per person,Ratio,1.7
CHE,Switzerland,Rooms per person,Ratio,1.9
TUR,Turkey,Rooms per person,Ratio,1.1
GBR,United Kingdom,Rooms per person,Ratio,1.9
USA,United States,Rooms per person,Ratio,2.3
BRA,Brazil,Rooms per person,Ratio,1.4
CHL,Chile,Rooms per person,Ratio,1.3
EST,Estonia,Rooms per person,Ratio,1.6
ISR,Israel,Rooms per person,Ratio,1.1
RUS,Russia,Rooms per person,Ratio,0.9
SVN,Slovenia,Rooms per person,Ratio,1.4
AUS,Australia,Household net adjusted disposable income,US Dollar,31197
AUT,Austria,Household net adjusted disposable income,US Dollar,29256
BEL,Belgium,Household net adjusted disposable income,US Dollar,27811
CAN,Canada,Household net adjusted disposable income,US Dollar,30212
CZE,Czech Republic,Household net adjusted disposable income,US Dollar,17262
DNK,Denmark,Household net adjusted disposable income,US Dollar,25172
FIN,Finland,Household net adjusted disposable income,US Dollar,26904
FRA,France,Household net adjusted disposable income,US Dollar,29322
DEU,Germany,Household net adjusted disposable income,US Dollar,30721
GRC,Greece,Household net adjusted disposable income,US Dollar,19095
HUN,Hungary,Household net adjusted disposable income,US Dollar,15240
ISL,Iceland,Household net adjusted disposable income,US Dollar,22415
IRL,Ireland,Household net adjusted disposable income,US Dollar,23721
ITA,Italy,Household net adjusted disposable income,US Dollar,24724
JPN,Japan,Household net adjusted disposable income,US Dollar,25066
KOR,Korea,Household net adjusted disposable income,US Dollar,18035
LUX,Luxembourg,Household net adjusted disposable income,US Dollar,35635
MEX,Mexico,Household net adjusted disposable income,US Dollar,12850
NLD,Netherlands,Household net adjusted disposable income,US Dollar,25697
NZL,New Zealand,Household net adjusted disposable income,US Dollar,21773
NOR,Norway,Household net adjusted disposable income,US Dollar,32093
POL,Poland,Household net adjusted disposable income,US Dollar,16234
PRT,Portugal,Household net adjusted disposable income,US Dollar,18806
SVK,Slovak Republic,Household net adjusted disposable income,US Dollar,17228
ESP,Spain,Household net adjusted disposable income,US Dollar,22799
SWE,Sweden,Household net adjusted disposable income,US Dollar,27546
CHE,Switzerland,Household net adjusted disposable income,US Dollar,30745
TUR,Turkey,Household net adjusted disposable income,US Dollar,13794
GBR,United Kingdom,Household net adjusted disposable income,US Dollar,25828
USA,United States,Household net adjusted disposable income,US Dollar,39531
BRA,Brazil,Household net adjusted disposable income,US Dollar,10310
CHL,Chile,Household net adjusted disposable income,US Dollar,13762
EST,Estonia,Household net adjusted disposable income,US Dollar,14382
ISR,Israel,Household net adjusted disposable income,US Dollar,20434
RUS,Russia,Household net adjusted disposable income,US Dollar,17230
SVN,Slovenia,Household net adjusted disposable income,US Dollar,19692
AUS,Australia,Household net adjusted disposable income,US Dollar,31197
AUT,Austria,Household net adjusted disposable income,US Dollar,29256
BEL,Belgium,Household net adjusted disposable income,US Dollar,27811
CAN,Canada,Household net adjusted disposable income,US Dollar,30212
CZE,Czech Republic,Household net adjusted disposable income,US Dollar,17262
DNK,Denmark,Household net adjusted disposable income,US Dollar,25172
FIN,Finland,Household net adjusted disposable income,US Dollar,26904
FRA,France,Household net adjusted disposable income,US Dollar,29322
DEU,Germany,Household net adjusted disposable income,US Dollar,30721
GRC,Greece,Household net adjusted disposable income,US Dollar,19095
HUN,Hungary,Household net adjusted disposable income,US Dollar,15240
ISL,Iceland,Household net adjusted disposable income,US Dollar,22415
IRL,Ireland,Household net adjusted disposable income,US Dollar,23721
ITA,Italy,Household net adjusted disposable income,US Dollar,24724
JPN,Japan,Household net adjusted disposable income,US Dollar,25066
KOR,Korea,Household net adjusted disposable income,US Dollar,18035
LUX,Luxembourg,Household net adjusted disposable income,US Dollar,35635
MEX,Mexico,Household net adjusted disposable income,US Dollar,12850
NLD,Netherlands,Household net adjusted disposable income,US Dollar,25697
NZL,New Zealand,Household net adjusted disposable income,US Dollar,21773
NOR,Norway,Household net adjusted disposable income,US Dollar,32093
POL,Poland,Household net adjusted disposable income,US Dollar,16234
PRT,Portugal,Household net adjusted disposable income,US Dollar,18806
SVK,Slovak Republic,Household net adjusted disposable income,US Dollar,17228
ESP,Spain,Household net adjusted disposable income,US Dollar,22799
SWE,Sweden,Household net adjusted disposable income,US Dollar,27546
CHE,Switzerland,Household net adjusted disposable income,US Dollar,30745
TUR,Turkey,Household net adjusted disposable income,US Dollar,13794
GBR,United Kingdom,Household net adjusted disposable income,US Dollar,25828
USA,United States,Household net adjusted disposable income,US Dollar,39531
BRA,Brazil,Household net adjusted disposable income,US Dollar,10310
CHL,Chile,Household net adjusted disposable income,US Dollar,13762
EST,Estonia,Household net adjusted disposable income,US Dollar,14382
ISR,Israel,Household net adjusted disposable income,US Dollar,20434
RUS,Russia,Household net adjusted disposable income,US Dollar,17230
SVN,Slovenia,Household net adjusted disposable income,US Dollar,19692
AUS,Australia,Household net adjusted disposable income,US Dollar,31197
AUT,Austria,Household net adjusted disposable income,US Dollar,29256
BEL,Belgium,Household net adjusted disposable income,US Dollar,27811
CAN,Canada,Household net adjusted disposable income,US Dollar,30212
CZE,Czech Republic,Household net adjusted disposable income,US Dollar,17262
DNK,Denmark,Household net adjusted disposable income,US Dollar,25172
FIN,Finland,Household net adjusted disposable income,US Dollar,26904
FRA,France,Household net adjusted disposable income,US Dollar,29322
DEU,Germany,Household net adjusted disposable income,US Dollar,30721
GRC,Greece,Household net adjusted disposable income,US Dollar,19095
HUN,Hungary,Household net adjusted disposable income,US Dollar,15240
ISL,Iceland,Household net adjusted disposable income,US Dollar,22415
IRL,Ireland,Household net adjusted disposable income,US Dollar,23721
ITA,Italy,Household net adjusted disposable income,US Dollar,24724
JPN,Japan,Household net adjusted disposable income,US Dollar,25066
KOR,Korea,Household net adjusted disposable income,US Dollar,18035
LUX,Luxembourg,Household net adjusted disposable income,US Dollar,35635
MEX,Mexico,Household net adjusted disposable income,US Dollar,12850
NLD,Netherlands,Household net adjusted disposable income,US Dollar,25697
NZL,New Zealand,Household net adjusted disposable income,US Dollar,21773
NOR,Norway,Household net adjusted disposable income,US Dollar,32093
POL,Poland,Household net adjusted disposable income,US Dollar,16234
PRT,Portugal,Household net adjusted disposable income,US Dollar,18806
SVK,Slovak Republic,Household net adjusted disposable income,US Dollar,17228
ESP,Spain,Household net adjusted disposable income,US Dollar,22799
SWE,Sweden,Household net adjusted disposable income,US Dollar,27546
CHE,Switzerland,Household net adjusted disposable income,US Dollar,30745
TUR,Turkey,Household net adjusted disposable income,US Dollar,13794
GBR,United Kingdom,Household net adjusted disposable income,US Dollar,25828
USA,United States,Household net adjusted disposable income,US Dollar,39531
BRA,Brazil,Household net adjusted disposable income,US Dollar,10310
CHL,Chile,Household net adjusted disposable income,US Dollar,13762
EST,Estonia,Household net adjusted disposable income,US Dollar,14382
ISR,Israel,Household net adjusted disposable income,US Dollar,20434
RUS,Russia,Household net adjusted disposable income,US Dollar,17230
SVN,Slovenia,Household net adjusted disposable income,US Dollar,19692
AUS,Australia,Household net adjusted disposable income,US Dollar,63087
AUT,Austria,Household net adjusted disposable income,US Dollar,52736
BEL,Belgium,Household net adjusted disposable income,US Dollar,48785
CAN,Canada,Household net adjusted disposable income,US Dollar,59707
CZE,Czech Republic,Household net adjusted disposable income,US Dollar,30777
DNK,Denmark,Household net adjusted disposable income,US Dollar,43644
FIN,Finland,Household net adjusted disposable income,US Dollar,47029
FRA,France,Household net adjusted disposable income,US Dollar,57460
DEU,Germany,Household net adjusted disposable income,US Dollar,57580
GRC,Greece,Household net adjusted disposable income,US Dollar,38487
HUN,Hungary,Household net adjusted disposable income,US Dollar,27926
ISL,Iceland,Household net adjusted disposable income,US Dollar,38385
IRL,Ireland,Household net adjusted disposable income,US Dollar,48345
ITA,Italy,Household net adjusted disposable income,US Dollar,48444
JPN,Japan,Household net adjusted disposable income,US Dollar,50150
KOR,Korea,Household net adjusted disposable income,US Dollar,34184
LUX,Luxembourg,Household net adjusted disposable income,US Dollar,64203
MEX,Mexico,Household net adjusted disposable income,US Dollar,33060
NLD,Netherlands,Household net adjusted disposable income,US Dollar,48498
NZL,New Zealand,Household net adjusted disposable income,US Dollar,43261
NOR,Norway,Household net adjusted disposable income,US Dollar,54999
POL,Poland,Household net adjusted disposable income,US Dollar,31305
PRT,Portugal,Household net adjusted disposable income,US Dollar,39702
SVK,Slovak Republic,Household net adjusted disposable income,US Dollar,30595
ESP,Spain,Household net adjusted disposable income,US Dollar,45165
SWE,Sweden,Household net adjusted disposable income,US Dollar,49009
CHE,Switzerland,Household net adjusted disposable income,US Dollar,58794
TUR,Turkey,Household net adjusted disposable income,US Dollar,32578
GBR,United Kingdom,Household net adjusted disposable income,US Dollar,53785
USA,United States,Household net adjusted disposable income,US Dollar,85996
BRA,Brazil,Household net adjusted disposable income,US Dollar,28423
CHL,Chile,Household net adjusted disposable income,US Dollar,38697
EST,Estonia,Household net adjusted disposable income,US Dollar,28006
ISR,Israel,Household net adjusted disposable income,US Dollar,43562
RUS,Russia,Household net adjusted disposable income,US Dollar,33860
SVN,Slovenia,Household net adjusted disposable income,US Dollar,33405
AUS,Australia,Household net adjusted disposable income,US Dollar,11150
AUT,Austria,Household net adjusted disposable income,US Dollar,13287
BEL,Belgium,Household net adjusted disposable income,US Dollar,12350
CAN,Canada,Household net adjusted disposable income,US Dollar,11280
CZE,Czech Republic,Household net adjusted disposable income,US Dollar,8376
DNK,Denmark,Household net adjusted disposable income,US Dollar,12183
FIN,Finland,Household net adjusted disposable income,US Dollar,12790
FRA,France,Household net adjusted disposable income,US Dollar,12653
DEU,Germany,Household net adjusted disposable income,US Dollar,13381
GRC,Greece,Household net adjusted disposable income,US Dollar,6378
HUN,Hungary,Household net adjusted disposable income,US Dollar,6899
ISL,Iceland,Household net adjusted disposable income,US Dollar,10892
IRL,Ireland,Household net adjusted disposable income,US Dollar,9023
ITA,Italy,Household net adjusted disposable income,US Dollar,8616
JPN,Japan,Household net adjusted disposable income,US Dollar,8105
KOR,Korea,Household net adjusted disposable income,US Dollar,5969
LUX,Luxembourg,Household net adjusted disposable income,US Dollar,16191
MEX,Mexico,Household net adjusted disposable income,US Dollar,2594
NLD,Netherlands,Household net adjusted disposable income,US Dollar,11274
NZL,New Zealand,Household net adjusted disposable income,US Dollar,8481
NOR,Norway,Household net adjusted disposable income,US Dollar,14916
POL,Poland,Household net adjusted disposable income,US Dollar,6403
PRT,Portugal,Household net adjusted disposable income,US Dollar,6870
SVK,Slovak Republic,Household net adjusted disposable income,US Dollar,7830
ESP,Spain,Household net adjusted disposable income,US Dollar,7144
SWE,Sweden,Household net adjusted disposable income,US Dollar,12101
CHE,Switzerland,Household net adjusted disposable income,US Dollar,12880
TUR,Turkey,Household net adjusted disposable income,US Dollar,3891
GBR,United Kingdom,Household net adjusted disposable income,US Dollar,9530
USA,United States,Household net adjusted disposable income,US Dollar,10854
BRA,Brazil,Household net adjusted disposable income,US Dollar,2129
CHL,Chile,Household net adjusted disposable income,US Dollar,2983
EST,Estonia,Household net adjusted disposable income,US Dollar,5287
ISR,Israel,Household net adjusted disposable income,US Dollar,5597
RUS,Russia,Household net adjusted disposable income,US Dollar,5735
SVN,Slovenia,Household net adjusted disposable income,US Dollar,9138
AUS,Australia,Household net financial wealth,US Dollar,38482
AUT,Austria,Household net financial wealth,US Dollar,48125
BEL,Belgium,Household net financial wealth,US Dollar,78368
CAN,Canada,Household net financial wealth,US Dollar,63261
CZE,Czech Republic,Household net financial wealth,US Dollar,17875
DNK,Denmark,Household net financial wealth,US Dollar,39951
FIN,Finland,Household net financial wealth,US Dollar,20190
FRA,France,Household net financial wealth,US Dollar,47668
