LOCATION,Country,Indicator,TIME,Value
ISL,Iceland,Dwellings without basic facilities,2013,0.4
IRL,Ireland,Dwellings without basic facilities,2013,0.2
ITA,Italy,Dwellings without basic facilities,2013,0.4
JPN,Japan,Dwellings without basic facilities,2013,6.4
KOR,Korea,Dwellings without basic facilities,2013,4.2
LUX,Luxembourg,Dwellings without basic facilities,2013,0.1
MEX,Mexico,Dwellings without basic facilities,2013,4.2
NLD,Netherlands,Dwellings without basic facilities,2013,0
NZL,New Zealand,Dwellings without basic facilities,2013,0.2
NOR,Norway,Dwellings without basic facilities,2013,0.3
POL,Poland,Dwellings without basic facilities,2013,4
PRT,Portugal,Dwellings without basic facilities,2013,1.2
SVK,Slovak Republic,Dwellings without basic facilities,2013,1.4
ESP,Spain,Dwellings without basic facilities,2013,0
SWE,Sweden,Dwellings without basic facilities,2013,0
CHE,Switzerland,Dwellings without basic facilities,2013,0.1
TUR,Turkey,Dwellings without basic facilities,2013,12.7
GBR,United Kingdom,Dwellings without basic facilities,2013,0.1
USA,United States,Dwellings without basic facilities,2013,0
BRA,Brazil,Dwellings without basic facilities,2013,6.7
CHL,Chile,Dwellings without basic facilities,2013,9.4
EST,Estonia,Dwellings without basic facilities,2013,9.6
ISR,Israel,Dwellings without basic facilities,2013,3.8
RUS,Russia,Dwellings without basic facilities,2013,2.8
SVN,Slovenia,Dwellings without basic facilities,2013,0.5
AUS,Australia,Housing expenditure,2013,19
AUT,Austria,Housing expenditure,2013,21
BEL,Belgium,Housing expenditure,2013,20
CAN,Canada,Housing expenditure,2013,22
CZE,Czech Republic,Housing expenditure,2013,25
DNK,Denmark,Housing expenditure,2013,24
FIN,Finland,Housing expenditure,2013,22
FRA,France,Housing expenditure,2013,21
DEU,Germany,Housing expenditure,2013,21
GRC,Greece,Housing expenditure,2013,27
HUN,Hungary,Housing expenditure,2013,20
ISL,Iceland,Housing expenditure,2013,21
IRL,Ireland,Housing expenditure,2013,18
ITA,Italy,Housing expenditure,2013,22
JPN,Japan,Housing expenditure,2013,22
KOR,Korea,Housing expenditure,2013,16
LUX,Luxembourg,Housing expenditure,2013,23
MEX,Mexico,Housing expenditure,2013,18
NLD,Netherlands,Housing expenditure,2013,20
NZL,New Zealand,Housing expenditure,2013,26
NOR,Norway,Housing expenditure,2013,18
POL,Poland,Housing expenditure,2013,24
PRT,Portugal,Housing expenditure,2013,17
SVK,Slovak Republic,Housing expenditure,2013,25
ESP,Spain,Housing expenditure,2013,20
SWE,Sweden,Housing expenditure,2013,21
CHE,Switzerland,Housing expenditure,2013,23
TUR,Turkey,Housing expenditure,2013,21
GBR,United Kingdom,Housing expenditure,2013,22
USA,United States,Housing expenditure,2013,19
OTO,OECD - Total,Housing expenditure,2013,21
BRA,Brazil,Housing expenditure,2013,21
CHL,Chile,Housing expenditure,2013,18
EST,Estonia,Housing expenditure,2013,19
ISR,Israel,Housing expenditure,2013,21
RUS,Russia,Housing expenditure,2013,11
SVN,Slovenia,Housing expenditure,2013,20
AUS,Australia,Housing expenditure,2013,19
AUT,Austria,Housing expenditure,2013,21
BEL,Belgium,Housing expenditure,2013,20
CAN,Canada,Housing expenditure,2013,22
CZE,Czech Republic,Housing expenditure,2013,25
DNK,Denmark,Housing expenditure,2013,24
FIN,Finland,Housing expenditure,2013,22
FRA,France,Housing expenditure,2013,21
DEU,Germany,Housing expenditure,2013,21
GRC,Greece,Housing expenditure,2013,27
HUN,Hungary,Housing expenditure,2013,20
ISL,Iceland,Housing expenditure,2013,21
IRL,Ireland,Housing expenditure,2013,18
ITA,Italy,Housing expenditure,2013,22
JPN,Japan,Housing expenditure,2013,22
KOR,Korea,Housing expenditure,2013,16
LUX,Luxembourg,Housing expenditure,2013,23
MEX,Mexico,Housing expenditure,2013,18
NLD,Netherlands,Housing expenditure,2013,20
NZL,New Zealand,Housing expenditure,2013,26
NOR,Norway,Housing expenditure,2013,18
POL,Poland,Housing expenditure,2013,24
PRT,Portugal,Housing expenditure,2013,17
SVK,Slovak Republic,Housing expenditure,2013,25
ESP,Spain,Housing expenditure,2013,20
SWE,Sweden,Housing expenditure,2013,21
CHE,Switzerland,Housing expenditure,2013,23
TUR,Turkey,Housing expenditure,2013,21
GBR,United Kingdom,Housing expenditure,2013,22
USA,United States,Housing expenditure,2013,19
BRA,Brazil,Housing expenditure,2013,21
CHL,Chile,Housing expenditure,2013,18
EST,Estonia,Housing expenditure,2013,19
ISR,Israel,Housing expenditure,2013,21
RUS,Russia,Housing expenditure,2013,11
SVN,Slovenia,Housing expenditure,2013,20
AUS,Australia,Housing expenditure,2013,19
AUT,Austria,Housing expenditure,2013,21
BEL,Belgium,Housing expenditure,2013,20
CAN,Canada,Housing expenditure,2013,22
CZE,Czech Republic,Housing expenditure,2013,25
DNK,Denmark,Housing expenditure,2013,24
FIN,Finland,Housing expenditure,2013,22
FRA,France,Housing expenditure,2013,21
DEU,Germany,Housing expenditure,2013,21
GRC,Greece,Housing expenditure,2013,27
HUN,Hungary,Housing expenditure,2013,20
ISL,Iceland,Housing expenditure,2013,21
IRL,Ireland,Housing expenditure,2013,18
ITA,Italy,Housing expenditure,2013,22
JPN,Japan,Housing expenditure,2013,22
KOR,Korea,Housing expenditure,2013,16
LUX,Luxembourg,Housing expenditure,2013,23
MEX,Mexico,Housing expenditure,2013,18
NLD,Netherlands,Housing expenditure,2013,20
NZL,New Zealand,Housing expenditure,2013,26
NOR,Norway,Housing expenditure,2013,18
POL,Poland,Housing expenditure,2013,24
PRT,Portugal,Housing expenditure,2013,17
SVK,Slovak Republic,Housing expenditure,2013,25
ESP,Spain,Housing expenditure,2013,20
SWE,Sweden,Housing expenditure,2013,21
CHE,Switzerland,Housing expenditure,2013,23
TUR,Turkey,Housing expenditure,2013,21
GBR,United Kingdom,Housing expenditure,2013,22
USA,United States,Housing expenditure,2013,19
BRA,Brazil,Housing expenditure,2013,21
CHL,Chile,Housing expenditure,2013,18
EST,Estonia,Housing expenditure,2013,19
ISR,Israel,Housing expenditure,2013,21
RUS,Russia,Housing expenditure,2013,11
SVN,Slovenia,Housing expenditure,2013,20
AUS,Australia,Rooms per person,2013,2.3
AUT,Austria,Rooms per person,2013,1.7
BEL,Belgium,Rooms per person,2013,2.2
CAN,Canada,Rooms per person,2013,2.6
CZE,Czech Republic,Rooms per person,2013,1.4
DNK,Denmark,Rooms per person,2013,1.9
FIN,Finland,Rooms per person,2013,1.9
FRA,France,Rooms per person,2013,1.8
DEU,Germany,Rooms per person,2013,1.8
GRC,Greece,Rooms per person,2013,1.2
HUN,Hungary,Rooms per person,2013,1
ISL,Iceland,Rooms per person,2013,1.6
IRL,Ireland,Rooms per person,2013,2.1
ITA,Italy,Rooms per person,2013,1.4
JPN,Japan,Rooms per person,2013,1.8
KOR,Korea,Rooms per person,2013,1.4
LUX,Luxembourg,Rooms per person,2013,1.9
MEX,Mexico,Rooms per person,2013,1
NLD,Netherlands,Rooms per person,2013,2
NZL,New Zealand,Rooms per person,2013,2.3
NOR,Norway,Rooms per person,2013,2
POL,Poland,Rooms per person,2013,1
PRT,Portugal,Rooms per person,2013,1.6
SVK,Slovak Republic,Rooms per person,2013,1.2
ESP,Spain,Rooms per person,2013,1.8
SWE,Sweden,Rooms per person,2013,1.7
CHE,Switzerland,Rooms per person,2013,1.8
TUR,Turkey,Rooms per person,2013,0.9
GBR,United Kingdom,Rooms per person,2013,1.8
USA,United States,Rooms per person,2013,2.3
OTO,OECD - Total,Rooms per person,2013,1.6
BRA,Brazil,Rooms per person,2013,1.4
CHL,Chile,Rooms per person,2013,1.3
EST,Estonia,Rooms per person,2013,1.6
ISR,Israel,Rooms per person,2013,1.1
RUS,Russia,Rooms per person,2013,0.9
SVN,Slovenia,Rooms per person,2013,1.4
AUS,Australia,Rooms per person,2013,2.3
AUT,Austria,Rooms per person,2013,1.7
BEL,Belgium,Rooms per person,2013,2.2
CAN,Canada,Rooms per person,2013,2.6
CZE,Czech Republic,Rooms per person,2013,1.4
DNK,Denmark,Rooms per person,2013,1.9
FIN,Finland,Rooms per person,2013,1.9
FRA,France,Rooms per person,2013,1.8
DEU,Germany,Rooms per person,2013,1.8
GRC,Greece,Rooms per person,2013,1.2
HUN,Hungary,Rooms per person,2013,1
ISL,Iceland,Rooms per person,2013,1.6
IRL,Ireland,Rooms per person,2013,2.1
ITA,Italy,Rooms per person,2013,1.4
JPN,Japan,Rooms per person,2013,1.8
KOR,Korea,Rooms per person,2013,1.4
LUX,Luxembourg,Rooms per person,2013,1.9
MEX,Mexico,Rooms per person,2013,1
NLD,Netherlands,Rooms per person,2013,2
NZL,New Zealand,Rooms per person,2013,2.3
NOR,Norway,Rooms per person,2013,2
POL,Poland,Rooms per person,2013,1
PRT,Portugal,Rooms per person,2013,1.6
SVK,Slovak Republic,Rooms per person,2013,1.2
ESP,Spain,Rooms per person,2013,1.8
SWE,Sweden,Rooms per person,2013,1.7
CHE,Switzerland,Rooms per person,2013,1.8
TUR,Turkey,Rooms per person,2013,0.9
GBR,United Kingdom,Rooms per person,2013,1.8
USA,United States,Rooms per person,2013,2.3
BRA,Brazil,Rooms per person,2013,1.4
CHL,Chile,Rooms per person,2013,1.3
EST,Estonia,Rooms per person,2013,1.6
ISR,Israel,Rooms per person,2013,1.1
RUS,Russia,Rooms per person,2013,0.9
SVN,Slovenia,Rooms per person,2013,1.4
AUS,Australia,Rooms per person,2013,2.3
AUT,Austria,Rooms per person,2013,1.7
BEL,Belgium,Rooms per person,2013,2.2
CAN,Canada,Rooms per person,2013,2.6
CZE,Czech Republic,Rooms per person,2013,1.4
DNK,Denmark,Rooms per person,2013,1.9
FIN,Finland,Rooms per person,2013,1.9
FRA,France,Rooms per person,2013,1.8
DEU,Germany,Rooms per person,2013,1.8
GRC,Greece,Rooms per person,2013,1.2
HUN,Hungary,Rooms per person,2013,1
ISL,Iceland,Rooms per person,2013,1.6
IRL,Ireland,Rooms per person,2013,2.1
ITA,Italy,Rooms per person,2013,1.4
JPN,Japan,Rooms per person,2013,1.8
KOR,Korea,Rooms per person,2013,1.4
LUX,Luxembourg,Rooms per person,2013,1.9
MEX,Mexico,Rooms per person,2013,1
NLD,Netherlands,Rooms per person,2013,2
NZL,New Zealand,Rooms per person,2013,2.3
NOR,Norway,Rooms per person,2013,2
POL,Poland,Rooms per person,2013,1
PRT,Portugal,Rooms per person,2013,1.6
SVK,Slovak Republic,Rooms per person,2013,1.2
ESP,Spain,Rooms per person,2013,1.8
SWE,Sweden,Rooms per person,2013,1.7
CHE,Switzerland,Rooms per person,2013,1.8
TUR,Turkey,Rooms per person,2013,0.9
GBR,United Kingdom,Rooms per person,2013,1.8
USA,United States,Rooms per person,2013,2.3
BRA,Brazil,Rooms per person,2013,1.4
CHL,Chile,Rooms per person,2013,1.3
EST,Estonia,Rooms per person,2013,1.6
ISR,Israel,Rooms per person,2013,1.1
RUS,Russia,Rooms per person,2013,0.9
SVN,Slovenia,Rooms per person,2013,1.4
AUS,Australia,Household net adjusted disposable income,2013,28884
AUT,Austria,Household net adjusted disposable income,2013,28852
BEL,Belgium,Household net adjusted disposable income,2013,26874
CAN,Canada,Household net adjusted disposable income,2013,28194
CZE,Czech Republic,Household net adjusted disposable income,2013,16957
DNK,Denmark,Household net adjusted disposable income,2013,24682
FIN,Finland,Household net adjusted disposable income,2013,25739
FRA,France,Household net adjusted disposable income,2013,28310
DEU,Germany,Household net adjusted disposable income,2013,28799
GRC,Greece,Household net adjusted disposable income,2013,20440
HUN,Hungary,Household net adjusted disposable income,2013,13858
ISL,Iceland,Household net adjusted disposable income,2013,21201
IRL,Ireland,Household net adjusted disposable income,2013,24104
ITA,Italy,Household net adjusted disposable income,2013,24216
JPN,Japan,Household net adjusted disposable income,2013,24147
KOR,Korea,Household net adjusted disposable income,2013,17337
LUX,Luxembourg,Household net adjusted disposable income,2013,35517
MEX,Mexico,Household net adjusted disposable income,2013,12732
NLD,Netherlands,Household net adjusted disposable income,2013,25493
NZL,New Zealand,Household net adjusted disposable income,2013,21892
NOR,Norway,Household net adjusted disposable income,2013,31459
POL,Poland,Household net adjusted disposable income,2013,15371
PRT,Portugal,Household net adjusted disposable income,2013,19366
SVK,Slovak Republic,Household net adjusted disposable income,2013,16682
ESP,Spain,Household net adjusted disposable income,2013,22847
SWE,Sweden,Household net adjusted disposable income,2013,26242
CHE,Switzerland,Household net adjusted disposable income,2013,30060
TUR,Turkey,Household net adjusted disposable income,2013,13044
GBR,United Kingdom,Household net adjusted disposable income,2013,26904
USA,United States,Household net adjusted disposable income,2013,38001
OTO,OECD - Total,Household net adjusted disposable income,2013,23047
BRA,Brazil,Household net adjusted disposable income,2013,10225
CHL,Chile,Household net adjusted disposable income,2013,11039
EST,Estonia,Household net adjusted disposable income,2013,12800
ISR,Israel,Household net adjusted disposable income,2013,19120
RUS,Russia,Household net adjusted disposable income,2013,15286
SVN,Slovenia,Household net adjusted disposable income,2013,19119
AUS,Australia,Household net adjusted disposable income,2013,28884
AUT,Austria,Household net adjusted disposable income,2013,28852
BEL,Belgium,Household net adjusted disposable income,2013,26874
CAN,Canada,Household net adjusted disposable income,2013,28194
CZE,Czech Republic,Household net adjusted disposable income,2013,16957
DNK,Denmark,Household net adjusted disposable income,2013,24682
FIN,Finland,Household net adjusted disposable income,2013,25739
FRA,France,Household net adjusted disposable income,2013,28310
DEU,Germany,Household net adjusted disposable income,2013,28799
GRC,Greece,Household net adjusted disposable income,2013,20440
HUN,Hungary,Household net adjusted disposable income,2013,13858
ISL,Iceland,Household net adjusted disposable income,2013,21201
IRL,Ireland,Household net adjusted disposable income,2013,24104
ITA,Italy,Household net adjusted disposable income,2013,24216
JPN,Japan,Household net adjusted disposable income,2013,24147
KOR,Korea,Household net adjusted disposable income,2013,17337
LUX,Luxembourg,Household net adjusted disposable income,2013,35517
MEX,Mexico,Household net adjusted disposable income,2013,12732
NLD,Netherlands,Household net adjusted disposable income,2013,25493
NZL,New Zealand,Household net adjusted disposable income,2013,21892
NOR,Norway,Household net adjusted disposable income,2013,31459
POL,Poland,Household net adjusted disposable income,2013,15371
PRT,Portugal,Household net adjusted disposable income,2013,19366
SVK,Slovak Republic,Household net adjusted disposable income,2013,16682
ESP,Spain,Household net adjusted disposable income,2013,22847
SWE,Sweden,Household net adjusted disposable income,2013,26242
CHE,Switzerland,Household net adjusted disposable income,2013,30060
TUR,Turkey,Household net adjusted disposable income,2013,13044
GBR,United Kingdom,Household net adjusted disposable income,2013,26904
USA,United States,Household net adjusted disposable income,2013,38001
BRA,Brazil,Household net adjusted disposable income,2013,10225
CHL,Chile,Household net adjusted disposable income,2013,11039
EST,Estonia,Household net adjusted disposable income,2013,12800
ISR,Israel,Household net adjusted disposable income,2013,19120
RUS,Russia,Household net adjusted disposable income,2013,15286
SVN,Slovenia,Household net adjusted disposable income,2013,19119
AUS,Australia,Household net adjusted disposable income,2013,28884
AUT,Austria,Household net adjusted disposable income,2013,28852
BEL,Belgium,Household net adjusted disposable income,2013,26874
CAN,Canada,Household net adjusted disposable income,2013,28194
CZE,Czech Republic,Household net adjusted disposable income,2013,16957
DNK,Denmark,Household net adjusted disposable income,2013,24682
FIN,Finland,Household net adjusted disposable income,2013,25739
FRA,France,Household net adjusted disposable income,2013,28310
DEU,Germany,Household net adjusted disposable income,2013,28799
GRC,Greece,Household net adjusted disposable income,2013,20440
HUN,Hungary,Household net adjusted disposable income,2013,13858
ISL,Iceland,Household net adjusted disposable income,2013,21201
IRL,Ireland,Household net adjusted disposable income,2013,24104
ITA,Italy,Household net adjusted disposable income,2013,24216
JPN,Japan,Household net adjusted disposable income,2013,24147
KOR,Korea,Household net adjusted disposable income,2013,17337
LUX,Luxembourg,Household net adjusted disposable income,2013,35517
MEX,Mexico,Household net adjusted disposable income,2013,12732
NLD,Netherlands,Household net adjusted disposable income,2013,25493
NZL,New Zealand,Household net adjusted disposable income,2013,21892
NOR,Norway,Household net adjusted disposable income,2013,31459
POL,Poland,Household net adjusted disposable income,2013,15371
PRT,Portugal,Household net adjusted disposable income,2013,19366
SVK,Slovak Republic,Household net adjusted disposable income,2013,16682
ESP,Spain,Household net adjusted disposable income,2013,22847
SWE,Sweden,Household net adjusted disposable income,2013,26242
CHE,Switzerland,Household net adjusted disposable income,2013,30060
TUR,Turkey,Household net adjusted disposable income,2013,13044
GBR,United Kingdom,Household net adjusted disposable income,2013,26904
USA,United States,Household net adjusted disposable income,2013,38001
BRA,Brazil,Household net adjusted disposable income,2013,10225
CHL,Chile,Household net adjusted disposable income,2013,11039
EST,Estonia,Household net adjusted disposable income,2013,12800
ISR,Israel,Household net adjusted disposable income,2013,19120
RUS,Russia,Household net adjusted disposable income,2013,15286
SVN,Slovenia,Household net adjusted disposable income,2013,19119
AUS,Australia,Household net adjusted disposable income,2013,58409
AUT,Austria,Household net adjusted disposable income,2013,52387
BEL,Belgium,Household net adjusted disposable income,2013,47038
CAN,Canada,Household net adjusted disposable income,2013,55718
CZE,Czech Republic,Household net adjusted disposable income,2013,30190
DNK,Denmark,Household net adjusted disposable income,2013,42795
FIN,Finland,Household net adjusted disposable income,2013,44992
FRA,France,Household net adjusted disposable income,2013,55477
DEU,Germany,Household net adjusted disposable income,2013,53978
GRC,Greece,Household net adjusted disposable income,2013,41155
HUN,Hungary,Household net adjusted disposable income,2013,25395
ISL,Iceland,Household net adjusted disposable income,2013,38406
IRL,Ireland,Household net adjusted disposable income,2013,49125
ITA,Italy,Household net adjusted disposable income,2013,46751
JPN,Japan,Household net adjusted disposable income,2013,48311
KOR,Korea,Household net adjusted disposable income,2013,32860
LUX,Luxembourg,Household net adjusted disposable income,2013,65014
MEX,Mexico,Household net adjusted disposable income,2013,32756
NLD,Netherlands,Household net adjusted disposable income,2013,48114
NZL,New Zealand,Household net adjusted disposable income,2013,43498
NOR,Norway,Household net adjusted disposable income,2013,53912
POL,Poland,Household net adjusted disposable income,2013,29527
PRT,Portugal,Household net adjusted disposable income,2013,40277
SVK,Slovak Republic,Household net adjusted disposable income,2013,29511
ESP,Spain,Household net adjusted disposable income,2013,45150
SWE,Sweden,Household net adjusted disposable income,2013,46688
CHE,Switzerland,Household net adjusted disposable income,2013,57485
TUR,Turkey,Household net adjusted disposable income,2013,30808
GBR,United Kingdom,Household net adjusted disposable income,2013,56026
USA,United States,Household net adjusted disposable income,2013,82666
OTO,OECD - Total,Household net adjusted disposable income,2013,44625
BRA,Brazil,Household net adjusted disposable income,2013,28543
CHL,Chile,Household net adjusted disposable income,2013,31040
EST,Estonia,Household net adjusted disposable income,2013,24930
ISR,Israel,Household net adjusted disposable income,2013,40760
RUS,Russia,Household net adjusted disposable income,2013,37269
SVN,Slovenia,Household net adjusted disposable income,2013,32600
AUS,Australia,Household net adjusted disposable income,2013,10323
AUT,Austria,Household net adjusted disposable income,2013,13515
BEL,Belgium,Household net adjusted disposable income,2013,12075
CAN,Canada,Household net adjusted disposable income,2013,10526
CZE,Czech Republic,Household net adjusted disposable income,2013,8466
DNK,Denmark,Household net adjusted disposable income,2013,11946
FIN,Finland,Household net adjusted disposable income,2013,12236
FRA,France,Household net adjusted disposable income,2013,12216
DEU,Germany,Household net adjusted disposable income,2013,12544
GRC,Greece,Household net adjusted disposable income,2013,7317
HUN,Hungary,Household net adjusted disposable income,2013,6273
ISL,Iceland,Household net adjusted disposable income,2013,10071
IRL,Ireland,Household net adjusted disposable income,2013,9169
ITA,Italy,Household net adjusted disposable income,2013,8949
JPN,Japan,Household net adjusted disposable income,2013,7808
KOR,Korea,Household net adjusted disposable income,2013,5737
LUX,Luxembourg,Household net adjusted disposable income,2013,16082
MEX,Mexico,Household net adjusted disposable income,2013,2570
NLD,Netherlands,Household net adjusted disposable income,2013,11185
NZL,New Zealand,Household net adjusted disposable income,2013,8528
NOR,Norway,Household net adjusted disposable income,2013,14621
POL,Poland,Household net adjusted disposable income,2013,6123
PRT,Portugal,Household net adjusted disposable income,2013,7079
SVK,Slovak Republic,Household net adjusted disposable income,2013,7680
ESP,Spain,Household net adjusted disposable income,2013,7008
SWE,Sweden,Household net adjusted disposable income,2013,11528
CHE,Switzerland,Household net adjusted disposable income,2013,12593
TUR,Turkey,Household net adjusted disposable income,2013,3679
GBR,United Kingdom,Household net adjusted disposable income,2013,9927
USA,United States,Household net adjusted disposable income,2013,10434
OTO,OECD - Total,Household net adjusted disposable income,2013,9156
BRA,Brazil,Household net adjusted disposable income,2013,2101
CHL,Chile,Household net adjusted disposable income,2013,2392
EST,Estonia,Household net adjusted disposable income,2013,4881
ISR,Israel,Household net adjusted disposable income,2013,5237
RUS,Russia,Household net adjusted disposable income,2013,4153
SVN,Slovenia,Household net adjusted disposable income,2013,9018
AUS,Australia,Household net financial wealth,2013,32178
AUT,Austria,Household net financial wealth,2013,47458
BEL,Belgium,Household net financial wealth,2013,74007
CAN,Canada,Household net financial wealth,2013,63852
CZE,Czech Republic,Household net financial wealth,2013,14749
DNK,Denmark,Household net financial wealth,2013,36184
FIN,Finland,Household net financial wealth,2013,22335
FRA,France,Household net financial wealth,2013,46520
DEU,Germany,Household net financial wealth,2013,44938
GRC,Greece,Household net financial wealth,2013,13428
HUN,Hungary,Household net financial wealth,2013,12390
ISL,Iceland,Household net financial wealth,2013,31182
IRL,Ireland,Household net financial wealth,2013,27378
ITA,Italy,Household net financial wealth,2013,55255
JPN,Japan,Household net financial wealth,2013,74966
KOR,Korea,Household net financial wealth,2013,26036
LUX,Luxembourg,Household net financial wealth,2013,66917
MEX,Mexico,Household net financial wealth,2013,9946
NLD,Netherlands,Household net financial wealth,2013,66869
NZL,New Zealand,Household net financial wealth,2013,33421
NOR,Norway,Household net financial wealth,2013,6905
POL,Poland,Household net financial wealth,2013,9222
PRT,Portugal,Household net financial wealth,2013,28408
SVK,Slovak Republic,Household net financial wealth,2013,7798
ESP,Spain,Household net financial wealth,2013,21636
SWE,Sweden,Household net financial wealth,2013,44889
CHE,Switzerland,Household net financial wealth,2013,99209
TUR,Turkey,Household net financial wealth,2013,10524
GBR,United Kingdom,Household net financial wealth,2013,62965
USA,United States,Household net financial wealth,2013,115918
OTO,OECD - Total,Household net financial wealth,2013,40516
BRA,Brazil,Household net financial wealth,2013,5861
CHL,Chile,Household net financial wealth,2013,16972
EST,Estonia,Household net financial wealth,2013,8802
ISR,Israel,Household net financial wealth,2013,49240
RUS,Russia,Household net financial wealth,2013,15142
SVN,Slovenia,Household net financial wealth,2013,18065
AUS,Australia,Household net financial wealth,2013,32178
AUT,Austria,Household net financial wealth,2013,47458
BEL,Belgium,Household net financial wealth,2013,74007
CAN,Canada,Household net financial wealth,2013,63852
CZE,Czech Republic,Household net financial wealth,2013,14749
DNK,Denmark,Household net financial wealth,2013,36184
FIN,Finland,Household net financial wealth,2013,22335
FRA,France,Household net financial wealth,2013,46520
DEU,Germany,Household net financial wealth,2013,44938
GRC,Greece,Household net financial wealth,2013,13428
HUN,Hungary,Household net financial wealth,2013,12390
ISL,Iceland,Household net financial wealth,2013,31182
IRL,Ireland,Household net financial wealth,2013,27378
ITA,Italy,Household net financial wealth,2013,55255
JPN,Japan,Household net financial wealth,2013,74966
